Title,Release Date,Description,Release Year
Final Fight,1989-12-01,"Final Fight is a classic beat-em-up game developed by Capcom featuring a memorable cast of characters, including Guy, Cody, and the first and only mustachioed ex-pro-wrestler turned mayor, Mike Haggar. Released for the CPS arcade system in 1989 and then ported to the SNES and other home systems.",1989
K-1 World GP 2006,2006-11-22,"K-1 World GP 2006 is a Kickboxing game, developed and published by D3, which was released in Japan in 2006.",2006
Tom and Jerry: War of the Whiskers,2002-10-22,"A sequel to the cartoon slapstick fighter Tom and Jerry in Fists of Furry, featuring new friends to battle with and crazy four-player combat.",2002
Petz: Dogz 2,2007-11-13,,2007
Alone in the Dark,2008-06-20,"A reboot of the Alone in the Dark series, once again following Edward Carnby in his fight against the vile creatures of the darkness.",2008
Tony Hawk's American Wasteland,2005-10-18,Skate throughout a virtual Los Angeles in the seventh installment of the Tony Hawk series of skateboarding games.,2005
Tony Hawk's Underground 2,2004-10-04,Join Tony Hawk and his pro skater team as they try to beat Bam Margera's group of misfits in the over-the-top World Destruction Tour.,2004
Tony  Hawk's Underground,2003-10-27,Go from a local unknown to a superstar skater in the fifth installment of the Tony Hawk series of skateboarding games.,2003
WWE SmackDown! Shut Your Mouth,2002-10-31,"Shut Your Mouth! is the fourth game in the Smackdown! Series and its second outing on the Playstation 2. It features the usual roster updates, tweaks to the control scheme, as well as a brand new season mode that improves greatly on the previous offering in the last game.",2002
WWE SmackDown! vs. RAW 2010,2009-10-20,The eleventh game of the SmackDown! games developed by Yuke's Co.,2009
LEGO Island: Xtreme Stunts,2002-11-18,Pizza delivery boy Pepper Roni becomes an action movie stuntman in the third and final installment of the Lego Island series of open-world games based on the Lego toyline.,2002
Taito Memories Gekan,2005-08-25,Taito Memories Gekan (Vol. 2) compiles 25 Taito arcade games and was released in Japan for the PS2.,2005
Tokyo Xtreme Racer Drift,2003-02-27,"A spin-off of the Tokyo Xtreme Racer series, focused on drifting-heavy touge racing.",2003
Kaidō Battle 2: Chain Reaction,2004-02-26,"A drifting focused racing game for the PS2, featuring mountain courses around Japan.",2004
